req_id,name,description,kano,moscow,milestone,status,priority,owner,effort_est,acceptance_criteria,dependencies,risk_ids,tags,created_at,updated_at,version,notes
M01,区域截图,"鼠标拖拽选择区域，实时显示坐标/尺寸",M,Must,MVP,规划中,1,,3.0,"拖拽延迟<30ms，尺寸数字实时刷新",,R01;R03,截图;核心,2026-06-20,2026-06-20,v1.0,
M02,窗口截图,"自动识别窗口边界，点击选中",M,Must,MVP,规划中,1,,2.0,"Win/macOS/Linux 窗口列表枚举正确",,R01;R03,截图;核心,2026-06-20,2026-06-20,v1.0,
M03,全屏截图,"截取全部显示器含多屏",M,Must,MVP,规划中,1,,1.0,"多屏(最多6块)正确捕获",,R01;R03,截图;核心,2026-06-20,2026-06-20,v1.0,
M04,截图标注,"矩形/椭圆/箭头/文字/马赛克/序号标注",M,Must,MVP,规划中,1,,5.0,"10种标注工具，含撤销(Ctrl+Z)",M01;M02;M03,,标注;核心,2026-06-20,2026-06-20,v1.0,
M05,复制到剪贴板,"截图后自动复制到系统剪贴板",M,Must,MVP,规划中,1,,1.0,"PNG格式入剪贴板，无Alpha通道损失",M01,,截图;核心,2026-06-20,2026-06-20,v1.0,
M06,保存到本地,"自定义路径/格式/命名规则",M,Must,MVP,规划中,1,,2.0,"支持PNG/JPEG/WebP，命名模板{{date}}{{time}}",M01,,截图;核心,2026-06-20,2026-06-20,v1.0,
M07,全局快捷键,"可自定义组合键，系统级注册",M,Must,MVP,规划中,1,,2.0,"Win/Mac/Linux 热键注册，不与系统冲突",,,效率;核心,2026-06-20,2026-06-20,v1.0,
M08,系统托盘,"常驻托盘菜单",M,Must,MVP,规划中,1,,2.0,"三平台托盘图标+右键菜单",,,效率;核心,2026-06-20,2026-06-20,v1.0,
M09,区域录屏,"选择区域录制MP4/MKV",M,Must,MVP,规划中,1,,5.0,"GPU编码(H.264)，CPU<10%",,R02,录屏;核心,2026-06-20,2026-06-20,v1.0,
M10,录屏含音频,"系统音频+麦克风混音",M,Must,1.0,规划中,1,,3.0,"双通道混音，无画面声音不同步",M09,R02,录屏;核心,2026-06-20,2026-06-20,v1.0,
O01,贴图(Pin),"截图以浮动窗贴到屏幕最前",O,Must,1.0,规划中,2,,5.0,"支持缩放/旋转/透明度，多贴图同时存在",M05,,贴图,2026-06-20,2026-06-20,v1.0,
O02,滚动长截图,"窗口内容滚动拼接长图",O,Must,1.0,规划中,2,,5.0,"自动检测滚动区域，拼接无接缝",M01,,截图,2026-06-20,2026-06-20,v1.0,
O03,延时截图,"3/5/10秒倒计时截图",O,Should,1.0,规划中,3,,1.0,"倒计时UI + 取消(Esc)",M01,,截图,2026-06-20,2026-06-20,v1.0,
O04,OCR文字识别,"PaddleOCR ONNX 本地引擎提取文字",O,Must,1.0,规划中,2,,5.0,"中英文识别准确率>95%，一键复制全文",,R04,OCR;AI,2026-06-20,2026-06-20,v1.0,模型内嵌安装包离线可用
O05,取色器,"屏幕任意位置取色",O,Should,1.0,规划中,3,,2.0,"HEX/RGB/HSL三格式，放大镜预览",,,工具,2026-06-20,2026-06-20,v1.0,
O06,GIF录制,"轻量GIF录制",O,Should,1.0,规划中,3,,3.0,"帧率可调(5-30fps)，时长限制提示",M09,R02,录屏,2026-06-20,2026-06-20,v1.0,
O07,标注历史,"标注元素后期可编辑",O,Should,1.0,规划中,3,,3.0,"保存.chanax格式，重新打开可编辑",M04,,标注,2026-06-20,2026-06-20,v1.0,
O08,分享链接,"上传图床生成链接",O,Could,1.5,规划中,4,,2.0,"支持自定义图床(S3/Imgur/Gitee)",M06,,分享,2026-06-20,2026-06-20,v1.0,
O09,截图编号,"自动添加序号标记 #1 #2",O,Could,1.5,规划中,4,,1.0,"连续编号+重置能力",M04,,标注,2026-06-20,2026-06-20,v1.0,
O10,窗口录制,"自动选择并追踪窗口录制",O,Should,1.0,规划中,3,,2.0,"窗口移动/缩放时录制区域自动跟随",M09,,录屏,2026-06-20,2026-06-20,v1.0,
A01,自毁截图,"截后不落磁盘，阅后即焚",A,Could,1.5,规划中,5,,2.0,"内存驻留，关闭浮窗即销毁",M01,,截图;隐私,2026-06-20,2026-06-20,v1.0,
A02,二维码识别,"截图内二维码/条码识别",A,Could,1.5,规划中,5,,1.0,"QR + 常见条码(EAN/UPC/Code128)",,,OCR;工具,2026-06-20,2026-06-20,v1.0,
A03,屏幕尺子,"像素级测量工具",A,Could,1.5,规划中,5,,2.0,"水平+垂直测量，实时像素数显示",,,工具,2026-06-20,2026-06-20,v1.0,
A04,截图搜索,"本地OCR索引全文搜索",A,Could,1.5,规划中,5,,3.0,"PaddleOCR索引，模糊搜索，结果高亮",O04,,OCR;AI,2026-06-20,2026-06-20,v1.0,
A05,自动美化,"圆角/阴影/背景模板",A,Could,1.5,规划中,5,,2.0,"5+预设模板，实时预览",M04,,美化,2026-06-20,2026-06-20,v1.0,
A06,AI抠图,"主体智能抠图去背景",A,Could,2.0,规划中,5,,5.0,"需调研本地模型方案(BRIA/rembg)",,,,AI,2026-06-20,2026-06-20,v1.0,需调研
A07,录屏自动编辑,"裁剪静默段+缩放动效",A,Could,2.0,规划中,5,,8.0,"需调研自动编辑算法",M09,,录屏;AI,2026-06-20,2026-06-20,v1.0,需调研
A08,团队共享库,"团队截图/录屏统一管理",A,Could,2.0,规划中,5,,10.0,"需配套服务端(不在 v2.0 范围)",,,,团队,2026-06-20,2026-06-20,v1.0,需服务端
